Mode,Raw,Lux,Gain,Resolution,Sample
ALS,154787,2579.78,x18,19-bit,9
ALS,77342,2578.07,x18,18-bit,0
ALS,77371,2579.03,x18,18-bit,1
ALS,77331,2577.70,x18,18-bit,2
ALS,77457,2581.90,x18,18-bit,3
ALS,77351,2578.37,x18,18-bit,4
ALS,77303,2576.77,x18,18-bit,5
ALS,77302,2576.73,x18,18-bit,6
ALS,77221,2574.03,x18,18-bit,7
ALS,77378,2579.27,x18,18-bit,8
ALS,77360,2578.67,x18,18-bit,9
ALS,38705,2580.33,x18,17-bit,0
ALS,38732,2582.13,x18,17-bit,1
ALS,38707,2580.47,x18,17-bit,2
ALS,38712,2580.80,x18,17-bit,3
ALS,38568,2571.20,x18,17-bit,4
ALS,38711,2580.73,x18,17-bit,5
ALS,38756,2583.73,x18,17-bit,6
ALS,38638,2575.87,x18,17-bit,7
ALS,38641,2576.07,x18,17-bit,8
ALS,38598,2573.20,x18,17-bit,9
ALS,19091,2545.47,x18,16-bit,0
ALS,19555,2607.33,x18,16-bit,1
ALS,19216,2562.13,x18,16-bit,2
ALS,19460,2594.67,x18,16-bit,3
ALS,19310,2574.67,x18,16-bit,4
ALS,19369,2582.53,x18,16-bit,5
ALS,19270,2569.33,x18,16-bit,6
ALS,19257,2567.60,x18,16-bit,7
ALS,19525,2603.33,x18,16-bit,8
ALS,19132,2550.93,x18,16-bit,9
ALS,2034,2169.60,x18,13-bit,0
ALS,2719,2900.27,x18,13-bit,1
ALS,2062,2199.47,x18,13-bit,2
ALS,2676,2854.40,x18,13-bit,3
ALS,2103,2243.20,x18,13-bit,4
ALS,2628,2803.20,x18,13-bit,5
ALS,2172,2316.80,x18,13-bit,6
ALS,2573,2744.53,x18,13-bit,7
ALS,2261,2411.73,x18,13-bit,8
ALS,2510,2677.33,x18,13-bit,9
